imagem,limiar_T,detectados,anotados,vp,fp,fn,erro_contagem
captura_2023-10-02_15-20-40_png.rf.2d95a06da836e45c1aa02fdfe366a8ca.jpg,89.0,1,1,1,0,0,0
captura_2023-10-05_15-33-55_png.rf.c721f614c41f5fae8439305a48419b07.jpg,85.0,0,1,0,0,1,-1
captura_2023-09-28_15-18-35_png.rf.fb426ecfd9b5ce26a9c913544316cabf.jpg,81.0,1,2,0,1,2,-1
captura_2023-10-05_16-01-24_png.rf.915a4ff18eadc7e19497f85fe55b05cb.jpg,59.0,1,1,0,1,1,0
captura_2023-10-10_18-08-08_png.rf.da81a9bd59035615441187bd533df07c.jpg,84.0,2,1,0,2,1,1
captura_2023-10-02_15-39-19_png.rf.157f37bc12e5a2d135080248c2412d74.jpg,50.0,0,1,0,0,1,-1
captura_2023-10-05_17-55-33_png.rf.36a78fb2d21d3d53453615c1a9afa800.jpg,100.0,2,1,0,2,1,1
captura_2023-10-02_15-14-24_png.rf.b34d4073450d12e132dbbfe8f383cd33.jpg,82.0,2,1,1,1,0,1
captura_2023-10-02_15-22-25_png.rf.4f3328cb93d6d027aa38feefe8571ae2.jpg,76.0,3,1,1,2,0,2
captura_2023-10-10_18-12-31_png.rf.dbd7c22df04775d9df1029acae97a886.jpg,85.0,1,1,0,1,1,0
captura_2023-10-02_15-28-26_png.rf.51064b2388e45fee874be3d4f643fc1d.jpg,77.0,1,1,0,1,1,0
captura_2023-10-09_13-54-49_png.rf.0b06decbd05dbef834f482425c218b72.jpg,94.0,2,1,0,2,1,1
captura_2023-09-28_15-02-00_png.rf.597ecbd4b2907658bd443f215f108283.jpg,72.0,2,2,0,2,2,0
captura_2023-09-27_14-43-15_png.rf.92a3f7e58cf92ee06474ad3c1558e48e.jpg,50.0,2,1,0,2,1,1
captura_2023-10-05_15-32-45_png.rf.c248394c292835d96ce149a175b67ed8.jpg,76.0,0,1,0,0,1,-1
captura_2023-10-11_16-34-27_png.rf.2a90bf17652de4fa155d5ad7a5c69965.jpg,80.0,3,1,1,2,0,2
captura_2023-10-09_13-38-36_png.rf.e214033ca751fe0607e63a2e541b6bf3.jpg,55.0,1,1,0,1,1,0
captura_2023-10-05_15-52-36_png.rf.a81c5db868824f22269712c9671d6fbb.jpg,72.0,1,1,0,1,1,0
captura_2023-10-02_15-35-13_png.rf.b7bd1493404cb86a8f62b5ed47475424.jpg,49.0,0,1,0,0,1,-1
captura_2023-10-09_12-58-21_png.rf.4b91ffe1f616bea91c004e41ac47d291.jpg,61.0,0,1,0,0,1,-1
captura_2023-09-28_15-03-03_png.rf.1d94cae7a8527e71059e6852b868dc31.jpg,74.0,2,2,0,2,2,0
captura_2023-10-09_12-53-25_png.rf.c6c0ea4b19c10a32ec3224c59c9d5afb.jpg,102.0,2,1,0,2,1,1
captura_2023-10-05_16-06-31_png.rf.c4bbe6dd0b13f6a7841c62539b1d58be.jpg,77.0,2,1,1,1,0,1
captura_2023-10-02_15-44-35_png.rf.f2bee55f483f0e079592ae1b5b7bccf2.jpg,66.0,3,1,0,3,1,2
captura_2023-10-05_16-11-03_png.rf.ce5d1051f8be480c0dc0793c92b5a9df.jpg,67.0,2,1,1,1,0,1
captura_2023-09-27_14-43-22_png.rf.fa3317086e72a4b1e02700e3a9c4f697.jpg,74.0,2,1,0,2,1,1
captura_2023-09-28_15-01-25_png.rf.d5584ea616cba83890e51dcac457cf3b.jpg,67.0,3,1,0,3,1,2
captura_2023-10-02_15-39-13_png.rf.6e7e1488bdedd11cfd74f10ad9a1401d.jpg,45.0,1,1,1,0,0,0
captura_2023-10-11_16-27-48_png.rf.b61c8a640c66b1b9440f356d4e0ed52f.jpg,123.0,3,1,0,3,1,2
captura_2023-10-11_16-43-27_png.rf.5394c0e6ce4d2b3217990a6afa56cac6.jpg,80.0,0,1,0,0,1,-1
captura_2023-10-10_17-41-32_png.rf.6946e2d9d96accc1758877b7ffb5ad7e.jpg,86.0,1,1,0,1,1,0
captura_2023-10-02_15-48-30_png.rf.4db12e876d3d9eea1030a24fd2773f97.jpg,73.0,2,1,0,2,1,1
captura_2023-10-02_15-39-38_png.rf.a7eb776a9093887ee2776bcb602f1007.jpg,51.0,1,1,1,0,0,0
captura_2023-10-02_15-13-15_png.rf.e23f9750839f735e64ff28e2ff7d088f.jpg,105.0,2,2,0,2,2,0
captura_2023-10-02_15-48-37_png.rf.f62606feeb8f00095ae21a16b0cb083b.jpg,44.0,0,3,0,0,3,-3
captura_2023-10-02_15-47-36_png.rf.5d84751eb030833b30021e410a9e1828.jpg,62.0,1,1,0,1,1,0
captura_2023-10-10_18-06-54_png.rf.c1fa8518adc720d3b66f65e8f38f9f32.jpg,82.0,0,1,0,0,1,-1
captura_2023-10-10_18-02-35_png.rf.2ae8f9c7dac7db9ef6504fb835ed70a3.jpg,85.0,2,1,0,2,1,1
captura_2023-09-29_15-58-46_png.rf.c2470a767ef4c2d9e80db586b0d7e5b9.jpg,45.0,0,1,0,0,1,-1
captura_2023-10-02_15-44-44_png.rf.00494708ea30efe5663cc6ed753dca47.jpg,82.0,3,2,0,3,2,1
captura_2023-10-05_15-31-39_png.rf.6c0cdb87d2e4c60e4623745112884cd3.jpg,82.0,0,1,0,0,1,-1
captura_2023-10-02_15-19-41_png.rf.0f21aec96552b5f6abb9928cec03af1d.jpg,89.0,1,1,0,1,1,0
